净值日期,每万份收益,7日年化收益率（%）,申购状态,赎回状态,分红送配
2025-02-25,0.326,1.2030%,限制大额申购,开放赎回,
2025-02-24,0.3293,1.1910%,限制大额申购,开放赎回,
2025-02-23,0.3259,1.1770%,限制大额申购,开放赎回,
2025-02-22,0.3259,1.1760%,限制大额申购,开放赎回,
2025-02-21,0.3235,1.1740%,限制大额申购,开放赎回,
2025-02-20,0.3294,1.1560%,限制大额申购,开放赎回,
2025-02-19,0.3338,1.1540%,限制大额申购,开放赎回,
2025-02-18,0.3035,1.1580%,限制大额申购,开放赎回,
2025-02-17,0.303,1.1930%,限制大额申购,开放赎回,
2025-02-16,0.323,1.2250%,限制大额申购,开放赎回,
2025-02-15,0.323,1.2020%,限制大额申购,开放赎回,
2025-02-14,0.2881,1.1780%,限制大额申购,开放赎回,
2025-02-13,0.3262,1.2100%,限制大额申购,开放赎回,
2025-02-12,0.3412,1.3280%,限制大额申购,开放赎回,
2025-02-11,0.3702,1.8040%,限制大额申购,开放赎回,
2025-02-10,0.3638,1.7990%,限制大额申购,开放赎回,
2025-02-09,0.2786,1.7980%,限制大额申购,开放赎回,
2025-02-08,0.2786,1.8420%,限制大额申购,开放赎回,
2025-02-07,0.3481,1.8870%,限制大额申购,开放赎回,
2025-02-06,0.5504,1.8940%,限制大额申购,开放赎回,
2025-02-05,1.2385,1.7940%,限制大额申购,开放赎回,
2025-02-04,0.3619,1.3300%,限制大额申购,开放赎回,
2025-02-03,0.3619,1.3300%,限制大额申购,开放赎回,
2025-02-02,0.3619,1.3310%,限制大额申购,开放赎回,
2025-02-01,0.3619,1.2570%,限制大额申购,开放赎回,
2025-01-31,0.3619,1.1840%,限制大额申购,开放赎回,
2025-01-30,0.3619,1.1090%,限制大额申购,开放赎回,
2025-01-29,0.3619,1.0900%,限制大额申购,开放赎回,
2025-01-28,0.3619,1.0890%,限制大额申购,开放赎回,
2025-01-27,0.3652,1.0760%,限制大额申购,开放赎回,
2025-01-26,0.2219,1.0780%,限制大额申购,开放赎回,
2025-01-25,0.2219,1.1080%,限制大额申购,开放赎回,
2025-01-24,0.2203,1.1370%,限制大额申购,开放赎回,
2025-01-23,0.3259,1.1710%,限制大额申购,开放赎回,
2025-01-22,0.3592,1.1500%,限制大额申购,开放赎回,
2025-01-21,0.3391,1.1380%,限制大额申购,开放赎回,
2025-01-20,0.3684,1.1420%,限制大额申购,开放赎回,
2025-01-19,0.2778,1.1300%,限制大额申购,开放赎回,
2025-01-18,0.2778,1.1580%,限制大额申购,开放赎回,
2025-01-17,0.2849,1.1860%,限制大额申购,开放赎回,
2025-01-16,0.2849,1.2130%,限制大额申购,开放赎回,
2025-01-15,0.3376,1.6520%,限制大额申购,开放赎回,
2025-01-14,0.346,1.6640%,限制大额申购,开放赎回,
2025-01-13,0.3464,1.7040%,限制大额申购,开放赎回,
2025-01-12,0.3304,1.7130%,限制大额申购,开放赎回,
2025-01-11,0.3304,1.7260%,限制大额申购,开放赎回,
2025-01-10,0.3363,1.7390%,限制大额申购,开放赎回,
2025-01-09,1.1152,1.7470%,限制大额申购,开放赎回,
2025-01-08,0.3611,1.3440%,限制大额申购,开放赎回,
2025-01-07,0.4203,1.3290%,限制大额申购,开放赎回,
2025-01-06,0.3633,1.2860%,限制大额申购,开放赎回,
2025-01-05,0.3556,1.2870%,限制大额申购,开放赎回,
2025-01-04,0.3556,1.2900%,限制大额申购,开放赎回,
2025-01-03,0.3498,1.2920%,限制大额申购,开放赎回,
2025-01-02,0.3553,1.3560%,限制大额申购,开放赎回,
2025-01-01,0.3323,1.4820%,限制大额申购,开放赎回,
2024-12-31,0.3394,1.5020%,限制大额申购,开放赎回,
2024-12-30,0.3642,1.5190%,限制大额申购,开放赎回,
2024-12-29,0.3608,1.5320%,限制大额申购,开放赎回,
2024-12-28,0.3608,1.5350%,限制大额申购,开放赎回,
2024-12-27,0.4695,1.5370%,限制大额申购,开放赎回,
2024-12-26,0.5942,1.4760%,限制大额申购,开放赎回,
2024-12-25,0.3706,1.3600%,限制大额申购,开放赎回,
2024-12-24,0.3714,1.3630%,限制大额申购,开放赎回,
2024-12-23,0.3892,1.3670%,限制大额申购,开放赎回,
2024-12-22,0.3654,1.3630%,限制大额申购,开放赎回,
2024-12-21,0.3654,1.3650%,限制大额申购,开放赎回,
2024-12-20,0.3543,1.3670%,限制大额申购,开放赎回,
2024-12-19,0.3743,1.3770%,限制大额申购,开放赎回,
2024-12-18,0.3768,1.3790%,限制大额申购,开放赎回,
2024-12-17,0.3792,1.3800%,限制大额申购,开放赎回,
2024-12-16,0.3807,1.3700%,限制大额申购,开放赎回,
2024-12-15,0.3692,1.3660%,限制大额申购,开放赎回,
2024-12-14,0.3692,1.3570%,限制大额申购,开放赎回,
2024-12-13,0.3726,1.3490%,限制大额申购,开放赎回,
2024-12-12,0.3796,1.3440%,限制大额申购,开放赎回,
2024-12-11,0.3783,1.3390%,限制大额申购,开放赎回,
2024-12-10,0.3595,1.3410%,限制大额申购,开放赎回,
2024-12-09,0.3735,1.3310%,限制大额申购,开放赎回,
2024-12-08,0.3528,1.3310%,限制大额申购,开放赎回,
2024-12-07,0.3528,1.3370%,限制大额申购,开放赎回,
2024-12-06,0.3647,1.3430%,限制大额申购,开放赎回,
2024-12-05,0.3691,1.3400%,限制大额申购,开放赎回,
2024-12-04,0.3826,1.3400%,限制大额申购,开放赎回,
2024-12-03,0.3403,1.3330%,限制大额申购,开放赎回,
2024-12-02,0.3733,1.3490%,限制大额申购,开放赎回,
2024-12-01,0.3638,1.4670%,限制大额申购,开放赎回,
2024-11-30,0.3638,1.4640%,限制大额申购,开放赎回,
2024-11-29,0.3599,1.4620%,限制大额申购,开放赎回,
2024-11-28,0.3683,1.4630%,限制大额申购,开放赎回,
2024-11-27,0.3706,1.4620%,限制大额申购,开放赎回,
2024-11-26,0.3695,1.4630%,限制大额申购,开放赎回,
2024-11-25,0.5973,1.4630%,限制大额申购,开放赎回,
2024-11-24,0.3572,1.3430%,限制大额申购,开放赎回,
2024-11-23,0.3603,1.3460%,限制大额申购,开放赎回,
2024-11-22,0.3619,1.3460%,限制大额申购,开放赎回,
2024-11-21,0.3672,1.3470%,限制大额申购,开放赎回,
2024-11-20,0.3712,1.3500%,限制大额申购,开放赎回,
2024-11-19,0.3698,1.3540%,限制大额申购,开放赎回,
2024-11-18,0.3715,1.3510%,限制大额申购,开放赎回,
2024-11-17,0.3615,1.3600%,限制大额申购,开放赎回,
2024-11-16,0.3615,1.3550%,限制大额申购,开放赎回,
2024-11-15,0.3627,1.3500%,限制大额申购,开放赎回,
2024-11-14,0.3745,1.3360%,限制大额申购,开放赎回,
2024-11-13,0.3772,1.5620%,限制大额申购,开放赎回,
2024-11-12,0.3656,1.5500%,限制大额申购,开放赎回,
2024-11-11,0.3879,1.5550%,限制大额申购,开放赎回,
2024-11-10,0.3515,1.5440%,限制大额申购,开放赎回,
2024-11-09,0.3515,1.5490%,限制大额申购,开放赎回,
2024-11-08,0.3374,1.5530%,限制大额申购,开放赎回,
2024-11-07,0.8014,1.5780%,限制大额申购,开放赎回,
2024-11-06,0.3546,1.3720%,限制大额申购,开放赎回,
2024-11-05,0.3752,1.3870%,限制大额申购,开放赎回,
2024-11-04,0.3677,1.5300%,限制大额申购,开放赎回,
2024-11-03,0.3599,1.5260%,限制大额申购,开放赎回,
2024-11-02,0.3599,1.5270%,限制大额申购,开放赎回,
2024-11-01,0.3843,1.5280%,限制大额申购,开放赎回,
2024-10-31,0.4123,1.5160%,限制大额申购,开放赎回,
2024-10-30,0.3833,1.4920%,限制大额申购,开放赎回,
2024-10-29,0.6443,1.4840%,限制大额申购,开放赎回,
2024-10-28,0.3599,1.3360%,限制大额申购,开放赎回,
2024-10-27,0.3623,1.3380%,限制大额申购,开放赎回,
2024-10-26,0.3623,1.3360%,限制大额申购,开放赎回,
2024-10-25,0.3616,1.3330%,限制大额申购,开放赎回,
2024-10-24,0.3662,1.3220%,限制大额申购,开放赎回,
2024-10-23,0.369,1.3150%,限制大额申购,开放赎回,
2024-10-22,0.3643,1.4680%,限制大额申购,开放赎回,
2024-10-21,0.3638,1.4840%,限制大额申购,开放赎回,
2024-10-20,0.3573,1.6840%,限制大额申购,开放赎回,
2024-10-19,0.3573,1.6610%,限制大额申购,开放赎回,
2024-10-18,0.3417,1.6380%,限制大额申购,开放赎回,
2024-10-17,0.3523,1.6220%,限制大额申购,开放赎回,
2024-10-16,0.6587,1.6030%,限制大额申购,开放赎回,
2024-10-15,0.3932,1.3780%,限制大额申购,开放赎回,
2024-10-14,0.7425,1.3600%,限制大额申购,开放赎回,
2024-10-13,0.3133,1.1470%,限制大额申购,开放赎回,
2024-10-12,0.3137,1.1610%,限制大额申购,开放赎回,
2024-10-11,0.3123,1.1740%,限制大额申购,开放赎回,
2024-10-10,0.3159,1.1880%,限制大额申购,开放赎回,
2024-10-09,0.2337,1.2000%,限制大额申购,开放赎回,
2024-10-08,0.3602,1.2550%,限制大额申购,开放赎回,
2024-10-07,0.3387,1.2440%,限制大额申购,开放赎回,
