净值日期,单位净值,批次
2017-11-17,0.669,batch_1
2018-03-23,0.631,batch_1
2020-03-13,0.63,batch_1
2020-03-16,0.594,batch_1
2020-03-17,0.594,batch_1
2020-03-19,0.596,batch_1
2020-03-20,0.603,batch_1
2020-03-23,0.576,batch_1
2020-03-24,0.582,batch_1
2020-09-09,0.7844,batch_1
2020-09-10,0.7811,batch_2
2021-01-28,0.9941,batch_2
2021-01-29,0.9812,batch_2
2021-02-01,0.9905,batch_2
2021-02-03,0.9763,batch_2
2021-02-04,0.9489,batch_2
2021-02-05,0.9356,batch_2
2021-02-08,0.9477,batch_2
2021-02-24,0.934,batch_2
2021-08-17,1.2149,batch_2
2021-09-29,1.2384,batch_3
2021-10-12,1.202,batch_3
2021-12-20,1.3508,batch_3
2023-05-10,1.2724,batch_3
2023-05-11,1.2557,batch_3
2023-05-12,1.2564,batch_3
2023-05-15,1.264,batch_3
2023-05-16,1.2427,batch_3
2023-05-17,1.2599,batch_3
2024-07-26,1.5685,batch_3
2024-07-29,1.5783,batch_4
2024-07-30,1.564,batch_4
2024-08-05,1.4532,batch_4
2024-08-06,1.4822,batch_4
2024-08-07,1.4705,batch_4
2024-08-08,1.4712,batch_4
2024-11-18,1.793,batch_4
2024-11-22,1.7755,batch_4
2024-11-25,1.7257,batch_4
2024-11-28,1.7439,batch_4
