净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2025-02-25,2.1503,2.1503,-0.31%,限制大额申购,开放赎回,
2025-02-24,2.1569,2.1569,-2.22%,限制大额申购,开放赎回,
2025-02-21,2.2058,2.2058,1.88%,限制大额申购,开放赎回,
2025-02-20,2.1651,2.1651,1.11%,限制大额申购,开放赎回,
2025-02-19,2.1413,2.1413,2.83%,限制大额申购,开放赎回,
2025-02-18,2.0824,2.0824,-0.38%,限制大额申购,开放赎回,
2025-02-17,2.0904,2.0904,2.48%,限制大额申购,开放赎回,
2025-02-14,2.0399,2.0399,0.29%,限制大额申购,开放赎回,
2025-02-13,2.0341,2.0341,-2.65%,限制大额申购,开放赎回,
2025-02-12,2.0894,2.0894,2.33%,限制大额申购,开放赎回,
2025-02-11,2.0418,2.0418,0.87%,限制大额申购,开放赎回,
2025-02-10,2.0241,2.0241,0.33%,限制大额申购,开放赎回,
2025-02-07,2.0174,2.0174,2.07%,限制大额申购,开放赎回,
2025-02-06,1.9764,1.9764,4.39%,限制大额申购,开放赎回,
2025-02-05,1.8933,1.8933,-3.90%,限制大额申购,开放赎回,
2025-01-27,1.9702,1.9702,-3.52%,限制大额申购,开放赎回,
2025-01-24,2.042,2.042,1.65%,限制大额申购,开放赎回,
2025-01-23,2.0089,2.0089,-1.86%,限制大额申购,开放赎回,
2025-01-22,2.047,2.047,2.12%,限制大额申购,开放赎回,
2025-01-21,2.0045,2.0045,3.52%,限制大额申购,开放赎回,
2025-01-20,1.9364,1.9364,2.92%,限制大额申购,开放赎回,
2025-01-17,1.8814,1.8814,1.32%,限制大额申购,开放赎回,
2025-01-16,1.8568,1.8568,2.43%,限制大额申购,开放赎回,
2025-01-15,1.8128,1.8128,-1.72%,限制大额申购,开放赎回,
2025-01-14,1.8446,1.8446,4.33%,限制大额申购,开放赎回,
2025-01-13,1.7681,1.7681,-1.49%,限制大额申购,开放赎回,
2025-01-10,1.7948,1.7948,-2.27%,限制大额申购,开放赎回,
2025-01-09,1.8365,1.8365,0.71%,限制大额申购,开放赎回,
2025-01-08,1.8235,1.8235,-0.37%,限制大额申购,开放赎回,
