净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,high,low,previous_close,tr,atr,up_move,down_move,+dm,-dm,+di,-di,dx,adx,moving_average,deviation,recent_high,recent_low,historical_high,historical_low
2015-07-01,1.0,1.0,,封闭期,封闭期,,,,,,,,,0.0,0.0,,,,,,,,,1.0,1.0
2015-07-03,1.0,1.0,,封闭期,封闭期,,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,1.0,1.0
2015-07-07,0.997,0.997,,封闭期,封闭期,,1.0,0.997,1.0,0.0030000000000000027,,-0.0030000000000000027,0.0030000000000000027,0.0,0.0030000000000000027,,,,,,,,,1.0,0.997
2015-07-10,0.999,0.999,,封闭期,封闭期,,0.999,0.997,0.997,0.0020000000000000018,,0.0020000000000000018,-0.0020000000000000018,0.0020000000000000018,0.0,,,,,,,,,1.0,0.997
2015-07-17,1.002,1.002,,封闭期,封闭期,,1.002,0.999,0.999,0.0030000000000000027,,0.0030000000000000027,-0.0030000000000000027,0.0030000000000000027,0.0,,,,,,,,,1.002,0.997
2015-07-24,1.004,1.004,,封闭期,封闭期,,1.004,1.002,1.002,0.0020000000000000018,,0.0020000000000000018,-0.0020000000000000018,0.0020000000000000018,0.0,,,,,,,,,1.004,0.997
2015-07-31,0.999,0.999,,封闭期,封闭期,,1.004,0.999,1.004,0.0050000000000000044,,-0.0050000000000000044,0.0050000000000000044,0.0,0.0050000000000000044,,,,,,,,,1.004,0.997
2015-08-03,0.997,0.997,-0.20%,开放申购,开放赎回,,0.999,0.997,0.999,0.0020000000000000018,,-0.0020000000000000018,0.0020000000000000018,0.0,0.0020000000000000018,,,,,,,,,1.004,0.997
2015-08-04,0.999,0.999,0.20%,开放申购,开放赎回,,0.999,0.997,0.997,0.0020000000000000018,,0.0020000000000000018,-0.0020000000000000018,0.0020000000000000018,0.0,,,,,,,,,1.004,0.997
2015-08-05,0.998,0.998,-0.10%,开放申购,开放赎回,,0.999,0.998,0.999,0.0010000000000000009,,-0.0010000000000000009,0.0010000000000000009,0.0,0.0010000000000000009,,,,,,,,,1.004,0.997
2015-08-06,0.997,0.997,-0.10%,开放申购,开放赎回,,0.998,0.997,0.998,0.0010000000000000009,,-0.0010000000000000009,0.0010000000000000009,0.0,0.0010000000000000009,,,,,,,,,1.004,0.997
2015-08-07,1.001,1.001,0.40%,开放申购,开放赎回,,1.001,0.997,0.997,0.0039999999999998925,,0.0039999999999998925,-0.0039999999999998925,0.0039999999999998925,0.0,,,,,,,,,1.004,0.997
