净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,high,low,previous_close,tr,atr,up_move,down_move,+dm,-dm,+di,-di,dx,adx,moving_average,deviation,recent_high,recent_low,historical_high,historical_low,long_ma,short_ma,trend,downtrend,uptrend,stop_loss,take_profit,trailing_stop
2016-02-26,0.747,0.747,-1.97%,开放申购,开放赎回,,0.762,0.747,0.762,0.015000000000000013,0.01557142857142857,-0.015000000000000013,0.015000000000000013,0.0,0.015000000000000013,35.52481625945659,79.78949388695344,38.38610973026307,22.672242431260234,0.8106499999999999,-0.07851723925245159,0.855,0.747,1.095,0.747,0.90298,0.8106499999999999,downtrend,1.0,0.0,stop_loss,,0.6872400000000001
2016-02-29,0.701,0.701,-6.16%,开放申购,开放赎回,,0.747,0.701,0.747,0.04600000000000004,0.016999999999999998,-0.04600000000000004,0.04600000000000004,0.0,0.04600000000000004,30.215234835125386,87.19220832728782,48.529268637035635,24.519285149621556,0.8031499999999999,-0.12718670235945959,0.855,0.701,1.095,0.701,0.89664,0.8031499999999999,downtrend,1.0,0.0,stop_loss,,0.6449199999999999
2016-05-11,0.769,0.769,-1.41%,开放申购,开放赎回,,0.78,0.769,0.78,0.01100000000000001,0.00528571428571429,-0.01100000000000001,0.01100000000000001,0.0,0.01100000000000001,52.901894787028006,83.08064431102964,22.1931063533382,10.503440131997012,0.7938000000000001,-0.03124212648022177,0.815,0.769,1.095,0.701,0.7750400000000001,0.7938000000000001,uptrend,1.0,0.0,stop_loss,,0.70748
2016-05-12,0.767,0.767,-0.26%,开放申购,开放赎回,,0.769,0.767,0.769,0.0020000000000000018,0.005142857142857148,-0.0020000000000000018,0.0020000000000000018,0.0,0.0020000000000000018,50.48771910693526,82.067041845861,23.8236050609841,11.454881804662966,0.7919,-0.03144336406111887,0.815,0.767,1.095,0.701,0.77618,0.7919,uptrend,1.0,0.0,stop_loss,,0.70564
2016-05-13,0.762,0.762,-0.65%,开放申购,开放赎回,,0.767,0.762,0.767,0.0050000000000000044,0.005142857142857148,-0.0050000000000000044,0.0050000000000000044,0.0,0.0050000000000000044,46.88145180950932,83.14955522425514,27.891888436523658,12.628955220145226,0.78925,-0.034526449160595496,0.809,0.762,1.095,0.701,0.77678,0.78925,uptrend,1.0,0.0,stop_loss,,0.70104
2016-08-01,0.775,0.775,-1.15%,开放申购,开放赎回,,0.784,0.775,0.784,0.009000000000000008,0.005571428571428553,-0.009000000000000008,0.009000000000000008,0.0,0.009000000000000008,29.97865488177183,77.84267055412853,44.39197485177623,19.69768174307557,0.8172,-0.05163974547234461,0.835,0.775,1.095,0.701,0.8071199999999998,0.8172,uptrend,1.0,0.0,stop_loss,,0.7130000000000001
2017-04-12,0.738,0.738,-0.14%,开放申购,开放赎回,,0.739,0.738,0.739,0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.0010000000000000009,0.0,0.0010000000000000009,35.311788723629626,57.45559687704489,23.870251392806587,12.107362123069136,0.74665,-0.011585080024107743,0.752,0.736,1.095,0.701,0.7489199999999999,0.74665,downtrend,1.0,0.0,stop_loss,,0.67896
2017-04-13,0.736,0.736,-0.27%,开放申购,开放赎回,,0.738,0.736,0.738,0.0020000000000000018,0.0030714285714285743,-0.0020000000000000018,0.0020000000000000018,0.0,0.0020000000000000018,32.02697116794307,56.76205298150585,27.858265197203778,13.232426628364564,0.7460000000000001,-0.013404825737265574,0.752,0.736,1.095,0.701,0.7488000000000001,0.7460000000000001,downtrend,1.0,0.0,stop_loss,,0.67712
2017-04-14,0.728,0.728,-1.09%,开放申购,开放赎回,,0.736,0.728,0.736,0.008000000000000007,0.003571428571428575,-0.008000000000000007,0.008000000000000007,0.0,0.008000000000000007,25.57582411840019,61.32855373808859,41.14030904027569,15.22584680064409,0.74495,-0.022753204913081443,0.752,0.728,1.095,0.701,0.74854,0.74495,downtrend,1.0,0.0,stop_loss,,0.66976
2017-04-17,0.72,0.72,-1.10%,开放申购,开放赎回,,0.728,0.72,0.728,0.008000000000000007,0.004142857142857147,-0.008000000000000007,0.008000000000000007,0.0,0.008000000000000007,20.473258222857257,62.88615754896281,50.879554437140584,17.77254020325117,0.74335,-0.031411851752202846,0.752,0.72,1.095,0.701,0.7480800000000001,0.74335,downtrend,1.0,0.0,stop_loss,,0.6624
